ts,old_speed,new_speed,new_is_stale,new_is_stat
1773243912000,6.08,8.53,false,false
1773243914000,6.08,8.53,true,false
1773243919000,0.00,8.53,true,false
1773243927000,0.00,8.53,true,false
1773243929000,0.00,8.53,true,false
1773243931000,0.00,8.53,true,false
1773243935000,0.00,6.70,false,false
1773243937000,0.00,5.07,false,false
1773243941000,0.00,5.07,true,false
1773243946000,0.00,4.47,false,false
1773243948000,0.00,4.47,true,false
1773243952000,6.06,4.23,false,false
1773243956000,9.97,4.46,false,false
1773243959000,9.97,4.46,true,false
1773243964000,0.00,4.46,true,false
1773243967000,0.00,4.46,true,false
1773243972000,0.00,4.01,false,false
1773243979000,3.39,4.80,false,false
1773243981000,7.24,6.46,false,false
1773243989000,10.50,7.74,false,false
1773243993000,15.30,8.97,false,false
1773243998000,19.91,13.35,false,false
1773244002000,26.67,18.68,false,false
1773244004000,26.67,18.68,true,false
1773244006000,24.94,20.84,false,false
1773244012000,1.04,13.67,false,false
1773244015000,1.04,13.67,true,false
1773244017000,0.00,13.67,true,false
1773244021000,0.00,13.67,true,false
1773244024000,0.00,13.67,true,false
1773244026000,0.00,13.67,true,false
1773244029000,0.00,13.67,true,false
1773244032000,0.00,13.67,true,false
1773244037000,0.00,13.67,true,false
1773244042000,0.00,13.67,true,false
1773244044000,0.00,13.67,true,false
1773244049000,0.00,13.67,true,false
1773244053000,0.00,13.67,true,false
1773244055000,0.00,13.67,true,false
1773244058000,0.00,13.67,true,false
1773244062000,0.00,13.67,true,false
1773244069000,0.00,13.67,true,false
1773244073000,0.00,13.67,true,false
1773244077000,0.00,13.67,true,false
1773244079000,0.00,13.67,true,false
1773244084000,0.00,13.67,true,false
1773244090000,0.00,13.67,true,false
1773244093000,0.00,13.67,true,false
1773244097000,0.00,13.67,true,false
1773244099000,0.00,13.67,true,false
1773244103000,0.00,13.67,true,false
1773244105000,0.00,13.67,true,false
1773244110000,0.00,13.67,true,false
1773244113000,0.00,13.67,true,false
1773244115000,0.00,13.67,true,false
1773244120000,0.00,13.67,true,false
1773244125000,0.00,13.67,true,false
1773244129000,0.00,13.67,true,false
1773244133000,0.00,13.67,true,false
1773244135000,0.00,13.67,true,false
1773244138000,0.00,13.67,true,false
1773244140000,0.00,13.67,true,false
1773244144000,0.00,13.67,true,false
1773244146000,0.00,13.67,true,false
1773244149000,0.00,13.67,true,false
1773244153000,0.00,13.67,true,false
1773244155000,0.00,13.67,true,false
1773244164000,0.00,13.67,true,false
1773244169000,0.00,13.67,true,false
1773244173000,0.00,13.67,true,false
1773244175000,0.00,13.67,true,false
1773244179000,0.00,13.67,true,false
1773244181000,0.00,13.67,true,false
1773244186000,0.00,13.67,true,false
1773244190000,0.00,13.67,true,false
1773244193000,0.00,13.67,true,false
1773244195000,0.00,13.67,true,false
1773244199000,0.00,13.67,true,false
1773244201000,0.00,13.67,true,false
1773244205000,0.00,13.67,true,false
1773244207000,0.00,13.67,true,false
1773244211000,0.00,13.67,true,false
1773244214000,0.00,13.67,true,false
1773244218000,0.00,13.67,true,false
1773244220000,0.00,13.67,true,false
1773244225000,0.00,13.67,true,false
1773244230000,0.00,13.67,true,false
1773244240000,0.00,13.67,true,false
1773244245000,0.00,13.67,true,false
1773244251000,0.00,13.67,true,false
1773244255000,0.00,13.67,true,false
1773244258000,0.00,13.67,true,false
1773244260000,0.00,13.67,true,false
1773244264000,0.00,13.67,true,false
1773244266000,0.00,13.67,true,false
1773244270000,0.00,13.67,true,false
1773244275000,0.00,13.67,true,false
1773244278000,0.00,13.67,true,false
1773244280000,0.00,13.67,true,false
1773244286000,0.00,13.67,true,false
1773244290000,0.00,13.67,true,false
1773244295000,0.00,13.67,true,false
1773244300000,0.00,13.67,true,false
1773244305000,0.00,13.67,true,false
1773244312000,0.00,13.67,true,false
1773244325000,0.00,8.69,false,false
1773244330000,4.13,5.69,false,false
1773244335000,4.13,3.74,false,false
1773244337000,0.00,3.74,true,false
1773244341000,7.41,2.54,false,false
1773244345000,10.84,1.81,false,false
1773244347000,10.84,1.81,true,false
1773244349000,0.00,1.81,true,false
1773244354000,6.04,1.66,false,false
1773244360000,14.81,3.78,false,false
1773244365000,14.81,3.78,true,false
1773244368000,21.84,6.84,false,false
1773244371000,25.95,11.33,false,false
1773244377000,9.82,10.04,false,false
1773244382000,13.35,11.36,false,false
1773244385000,13.35,11.36,true,false
1773244387000,11.80,13.98,false,false
1773244393000,11.80,13.98,true,false
1773244396000,0.00,12.78,false,false
1773244399000,6.68,11.61,false,false
1773244405000,8.63,10.42,false,false
1773244408000,8.63,10.42,true,false
1773244412000,10.13,9.46,false,false
1773244414000,10.13,9.46,true,false
1773244419000,0.00,6.47,false,false
1773244443000,6.04,6.66,false,false
1773244447000,6.04,6.66,true,false
1773244450000,0.00,6.30,false,false
1773244453000,0.00,6.30,true,false
1773244455000,6.45,6.24,false,false
1773244459000,10.52,6.49,false,false
1773244461000,10.52,6.49,true,false
1773244466000,16.54,7.54,false,false
1773244470000,15.93,9.57,false,false
1773244475000,11.53,10.24,false,false
1773244480000,11.53,10.24,true,false
1773244486000,0.00,6.24,false,false
1773244494000,7.51,7.45,false,false
1773244496000,10.56,8.92,false,false
1773244500000,10.56,8.92,true,false
1773244504000,14.36,10.16,false,false
1773244506000,23.39,12.31,false,false
1773244511000,31.48,17.16,false,false
1773244516000,28.17,21.72,false,false
1773244521000,31.91,24.60,false,false
1773244523000,31.91,24.60,true,false
1773244528000,27.71,27.16,false,false
1773244530000,27.71,27.16,true,false
1773244534000,26.02,27.17,false,false
1773244536000,26.02,27.17,true,false
1773244540000,14.30,24.47,false,false
1773244543000,14.30,24.47,true,false
1773244548000,0.00,16.97,false,false
1773244553000,7.86,15.08,false,false
1773244558000,7.86,11.32,false,false
1773244560000,0.00,11.32,true,false
1773244563000,0.00,8.06,false,false
1773244568000,0.00,8.06,true,false
1773244573000,0.00,6.07,false,false
1773244576000,0.00,6.07,true,false
1773244578000,0.00,5.74,false,false
1773244581000,0.00,4.90,false,false
1773244586000,0.00,4.90,true,false
1773244590000,9.73,5.31,false,false
1773244593000,18.14,7.53,false,false
1773244606000,18.74,12.03,false,false
1773244609000,28.16,17.66,false,false
1773244615000,18.33,17.93,false,false
1773244621000,18.33,17.93,true,false
1773244623000,0.00,17.93,true,false
1773244628000,0.00,17.93,true,false
1773244635000,0.00,17.93,true,false
1773244638000,0.00,17.93,true,false
1773244642000,0.00,17.93,true,false
1773244644000,0.00,17.93,true,false
1773244648000,0.00,17.93,true,false
1773244653000,0.00,17.93,true,false
1773244655000,0.00,17.93,true,false
1773244659000,0.00,17.93,true,false
1773244662000,0.00,17.93,true,false
1773244675000,0.00,14.57,false,false
